id,amenity,lat,lon
638,restaurant,10.7741771,106.7040143
639,cafe,10.774285,106.6986867
640,restaurant,10.7618187,106.6808856
641,restaurant,10.7623938,106.6913057
642,restaurant,10.7661931,106.6913324
643,cafe,10.7617843,106.6913287
644,shop,10.7634665,106.6870897
645,atm,10.7569674,106.6620898
646,restaurant,10.7728961,106.6832363
647,restaurant,10.7718307,106.6858164
648,bank,10.7776792,106.6911579
649,shop,10.7818956,106.6921187
650,shop,10.7542634,106.6553654
651,restaurant,10.7730101,106.6968042
652,cafe,10.7653372,106.6952758
653,fast_food,10.7683548,106.6926343
654,restaurant,10.7685883,106.6942085
655,food_court,10.788334,106.6768663
656,cafe,10.788042,106.6997551
657,cafe,10.7720697,106.6860364
658,bank,10.7893479,106.7037205
659,fast_food,10.7806494,106.6984325
660,shop,10.7856289,106.6949057
661,restaurant,10.7679004,106.688726
662,restaurant,10.7659975,106.6909905
663,restaurant,10.7649331,106.6947879
664,cafe,10.7919269,106.6984474
665,restaurant,10.7732946,106.7029288
666,cafe,10.7753501,106.7040924
667,cafe,10.7712337,106.6907569
668,shop,10.7712402,106.6912462
669,cafe,10.7799587,106.6869395
670,restaurant,10.7739049,106.6981873
671,restaurant,10.7904912,106.701245
672,restaurant,10.7644905,106.6914365
673,cafe,10.7767726,106.6983083
674,restaurant,10.7865342,106.6922877
675,shop,10.7643554,106.6913421
676,shop,10.7791798,106.7002789
677,shop,10.7706112,106.6895619
678,shop,10.7728205,106.6971714
679,restaurant,10.7671859,106.6935902
680,bar,10.7668691,106.692757
681,bank,10.7695852,106.6883279
682,cafe,10.7861756,106.6868159
683,restaurant,10.7786518,106.6920846
684,shop,10.7622587,106.6938742
685,hospital,10.7519331,106.6843795
686,restaurant,10.7903516,106.6976096
687,restaurant,10.7739304,106.6973809
688,cafe,10.7666483,106.6921086
689,shop,10.7770772,106.7021732
690,shop,10.764657,106.6875678
691,shop,10.7906589,106.6780316
692,restaurant,10.771616,106.6858145
693,cafe,10.777746,106.6991246
694,restaurant,10.7851216,106.6888205
695,restaurant,10.779344,106.7035622
696,shop,10.7693075,106.6892024
697,fast_food,10.7848583,106.700098
698,restaurant,10.778708,106.6980884
699,restaurant,10.7859999,106.6993063
700,shop,10.7787817,106.7028124
701,cafe,10.7737673,106.7011077
702,cafe,10.7888602,106.6980179
703,fast_food,10.7787824,106.6996434
704,restaurant,10.7674081,106.6930818
705,fuel,10.7542001,106.6680951
706,bank,10.7843074,106.6944871
707,shop,10.7712056,106.6911132
708,cafe,10.7735654,106.6983486
709,cafe,10.7535362,106.6538979
710,restaurant,10.7807866,106.6891403
711,restaurant,10.7797911,106.7038529
712,cinema,10.7536969,106.6742043
713,cafe,10.7696251,106.6927235
714,pharmacy,10.7525752,106.6721247
715,bank,10.7532103,106.673753
716,restaurant,10.7865809,106.6976742
717,restaurant,10.784408,106.6977612
718,shop,10.7514702,106.6608557
719,shop,10.7894045,106.702524
720,restaurant,10.7744459,106.7006746
721,restaurant,10.769197,106.689399
722,restaurant,10.7753264,106.6975453
723,restaurant,10.7732977,106.7019193
724,restaurant,10.7779136,106.7019753
725,shop,10.7754787,106.7038752
726,fast_food,10.7748486,106.683388
727,shop,10.7796987,106.700693
728,shop,10.7756674,106.7033292
729,bank,10.7670525,106.6877592
730,shop,10.7787752,106.7030903
731,atm,10.7731077,106.6973821
732,cafe,10.7809198,106.689929
733,shop,10.7884676,106.6781781
734,cafe,10.7650852,106.6925908
735,restaurant,10.7684387,106.6942563
736,restaurant,10.7883681,106.6994147
737,restaurant,10.7884577,106.6975684
738,restaurant,10.7648395,106.6949177
739,restaurant,10.779395,106.7005031
740,shop,10.7709168,106.6894985
741,bar,10.7683941,106.6942806
742,cafe,10.7635051,106.6869405
743,restaurant,10.767375,106.6941425
744,cafe,10.7856401,106.7009163
745,bank,10.7894702,106.6781072
746,restaurant,10.7690243,106.6897956
747,shop,10.767144,106.6948322
748,cafe,10.7893216,106.702721
749,internet_cafe,10.763014,106.6795306
750,restaurant,10.7718553,106.6975823
751,fuel,10.752142,106.6769446
752,cafe,10.7862643,106.6954336
753,restaurant,10.7835349,106.7010172
754,restaurant,10.7569381,106.6716432
755,shop,10.7656009,106.6947703
756,fuel,10.7542739,106.6817629
